code,color,y,x1,x2,x3,x4,x5,x6,x7,Overduearea,Planneddeliveryarea,Province,City,Region,x_coord,y_coord,Overdue,Planned,O_rate,color_text,Region_n
bjbd028,2,52040.4,0.0,0,1.1687508,0.95446992,0.697691698037563,0.02602653838185755,0.189146685013832,52040.4,52040.4,Hebei,保定市,Eastern area,549.064,3292.096,52040.4,52040.4,1.0,Yellow,3
hnhh029,1,19165.47,1.1284433,0,0.92721231,1.112088,0.7964985177890068,0.05270960946459299,0.25170903489386925,19165.47,57275.049999999996,Hunan,怀化市,Central area,165.5755,1913.2,19165.47,57275.049999999996,0.33462161971050225,Red,1
bjbd030,2,68200.72,1.5059524,0,2.3060708,12.93103,0.697691698037563,0.02602653838185755,0.189146685013832,68200.72,68200.72,Hebei,保定市,Eastern area,549.064,3292.096,68200.72,68200.72,1.0,Yellow,3
xbxn031,1,93447.85,0.0,0,1.0849696,0.51062637,0.69177574771193,0.03045135059379122,0.2527564278261851,93447.85,93447.85,Qinghai,西宁市,Western area,-1236.947,2915.147,93447.85,93447.85,1.0,Red,2
hnyy032,1,34576.17,9.6916289,0,1.0720473,1.5353644,0.7964985177890068,0.05270960946459299,0.25170903489386925,34576.17,34576.17,Hunan,岳阳市,Central area,165.5755,1913.2,34576.17,34576.17,1.0,Red,1
bjtl033,3,33029.16,0.0,0,2.3060708,2.0522436,0.697691698037563,0.02602653838185755,0.189146685013832,33029.16,33029.16,Inner Mongol,通辽市,Western area,257.7787,3768.07,33029.16,33029.16,1.0,Green,2
hnzz034,3,51626.37,0.0,0,1.4173601,9.2574892,1.0028625166076264,0.008970670937271734,0.5575526018541407,51626.37,51626.37,Henan,郑州市,Central area,327.5666,2622.538,51626.37,51626.37,1.0,Green,1
hnhh035,2,26646.2,12.867451,0,0.78017771,1.3427657,0.7964985177890068,0.05270960946459299,0.25170903489386925,26646.2,51887.17,Hunan,怀化市,Central area,165.5755,1913.2,26646.2,51887.17,0.5135412087419684,Yellow,1
sdta036,2,22949.920000000002,0.0,1,1.4243688,1.2772907,0.6899470327975797,0.019919818030096056,0.09335376053505097,22949.920000000002,22949.920000000002,Shandong,泰安市,Eastern area,818.8971,3022.989,22949.920000000002,22949.920000000002,1.0,Yellow,3
hbcz037,1,54866.36,7.0211446,0,1.2535466,4.6338318,0.7109781757714158,0.01213319377191041,0.2488844305706367,54866.36,54866.36,Hebei,沧州市,Eastern area,549.064,3292.096,54866.36,54866.36,1.0,Red,3
sdrz038,1,44980.42,12.190324,0,1.7944669,0.48747517,0.6899470327975797,0.019919818030096056,0.09335376053505097,44980.42,44980.42,Shandong,日照市,Eastern area,818.8971,3022.989,44980.42,44980.42,1.0,Red,3
yday039,1,61426.86,21.587466,1,1.2955097,0.37971267,0.6621007425706285,0.01779819670068548,0.22212737639704153,61426.86,61426.86,Henan,安阳市,Central area,327.5666,2622.538,61426.86,61426.86,1.0,Red,1
sxty040,1,66155.04,0.0,0,1.0866238,1.9170868,0.6783565084150279,0.014762529025704126,0.19665238540883978,66155.04,192072.43,Shanxi,太原市,Central area,195.3071,3031.825,66155.04,192072.43,0.34442756828765064,Red,1
xbcj041,1,156653.21,0.0,0,1.2885546,1.1570352,0.69177574771193,0.03045135059379122,0.2527564278261851,156653.21,156653.21,Xinjiang Uygur,乌鲁木齐市,Western area,-2043.23,3686.223,156653.21,156653.21,1.0,Red,2
xblz042,2,64721.58,154.53136,1,2.1482436,0.69265524,0.69177574771193,0.03045135059379122,0.2527564278261851,64721.58,64721.58,Gansu,兰州市,Western area,-762.6987,3093.822,64721.58,64721.58,1.0,Yellow,2
xbwl043,1,132065.24,44.228168,1,1.5990373,1.7301187,0.69177574771193,0.03045135059379122,0.2527564278261851,132065.24,218002.22999999998,Xinjiang Uygur,乌鲁木齐市,Western area,-2043.23,3686.223,132065.24,218002.22999999998,0.6057976562900297,Red,2
hnxx044,2,13995.63,63.518841,0,1.1980762,5.9590862,0.7964985177890068,0.05270960946459299,0.25170903489386925,13995.63,39347.86,Hunan,吉首市,Central area,165.5755,1913.2,13995.63,39347.86,0.35568973763757417,Yellow,1
sdzz045,1,32178.91,59.061246000000004,1,1.3945838,1.1130533,0.6899470327975797,0.019919818030096056,0.09335376053505097,32178.91,32178.91,Shandong,枣庄市,Eastern area,818.8971,3022.989,32178.91,32178.91,1.0,Red,3
gxbs046,1,63128.75,6.6904441,1,1.937248,0.98377777,0.70185954230726,0.0674344016839936,0.19676732720978388,63128.75,63128.75,Guangxi Zhuangzu,百色市,Western area,-125.5177,1493.003,63128.75,63128.75,1.0,Red,2
ahbz047,1,58967.590000000004,31.681022,0,1.4802634,4.3864186,1.0087949151260105,0.019491992058553002,0.19185697048136535,58967.590000000004,58967.590000000004,Anhui,亳州市,Central area,671.9757,2408.49,58967.590000000004,58967.590000000004,1.0,Red,1
hncs048,1,37504.5,50.584542,0,3.8800757,4.3148316,0.7964985177890068,0.05270960946459299,0.25170903489386925,37504.5,37504.5,Hunan,长沙市,Central area,165.5755,1913.2,37504.5,37504.5,1.0,Red,1
gzbg049,1,67214.69,0.0,0,2.428304,1.075095,0.7882375474307484,0.08463759381221045,0.39795838886757934,67214.69,100898.93999999999,Guizhou,贵阳市,Western area,-310.2428,1827.834,67214.69,100898.93999999999,0.6661585344702334,Red,2
sddz050,1,50460.310000000005,26.067559000000003,1,2.3060708,1.9191937,0.6899470327975797,0.019919818030096056,0.09335376053505097,50460.310000000005,50460.310000000005,Shandong,德州市,Eastern area,818.8971,3022.989,50460.310000000005,50460.310000000005,1.0,Red,3
ahpy051,3,66768.38,7.0792398,0,1.4723694,1.7764846,1.0087949151260105,0.019491992058553002,0.19185697048136535,66768.38,66768.38,Anhui,阜阳市,Central area,671.9757,2408.49,66768.38,66768.38,1.0,Green,1
scdz052,1,77116.66,4.3428217,0,1.3117553,0.52710823,0.833973144114031,0.03255570365183585,0.37872732400377085,77116.66,152622.85,Sichuan,达州市,Western area,-686.9829,2272.767,77116.66,152622.85,0.5052759793176448,Red,2
ldqd053,2,8328.46,43.80451,1,1.1232396,1.2356858,0.8467148355855535,0.016559034321694505,0.9495546659761421,8328.46,8328.46,Shandong,青岛市,Eastern area,818.8971,3022.989,8328.46,8328.46,1.0,Yellow,3
sxty054,2,118708.51,285.90215,0,1.4806117,0.5346482,0.6783565084150279,0.014762529025704126,0.19665238540883978,118708.51,118708.51,Shanxi,太原市,Central area,195.3071,3031.825,118708.51,118708.51,1.0,Yellow,1
hnqy055,2,25376.500000000004,20.251932999999998,0,1.1216243,2.4829131,0.7964985177890068,0.05270960946459299,0.25170903489386925,25376.500000000004,55867.409999999996,Hunan,永州市,Central area,165.5755,1913.2,25376.500000000004,55867.409999999996,0.4542272498402916,Yellow,1
hnsy056,1,28191.769999999997,3.8708904,1,1.7108754,0.29767787,0.7964985177890068,0.05270960946459299,0.25170903489386925,28191.769999999997,28191.769999999997,Hunan,邵阳市,Central area,165.5755,1913.2,28191.769999999997,28191.769999999997,1.0,Red,1
sdrz057,2,59340.12,100.31117,1,1.0033015,4.9636753,0.6899470327975797,0.019919818030096056,0.09335376053505097,59340.12,59340.12,Shandong,日照市,Eastern area,818.8971,3022.989,59340.12,59340.12,1.0,Yellow,3
sxdt058,2,147232.50999999998,0.0,0,1.7014898,4.1408454,0.6783565084150279,0.014762529025704126,0.19665238540883978,147232.50999999998,147232.50999999998,Shanxi,大同市,Central area,195.3071,3031.825,147232.50999999998,147232.50999999998,1.0,Yellow,1
hnyy059,3,17356.42,20.320954999999998,0,1.239881,0.44330325,0.7964985177890068,0.05270960946459299,0.25170903489386925,17356.42,17356.42,Hunan,岳阳市,Central area,165.5755,1913.2,17356.42,17356.42,1.0,Green,1
